name,href,address
Carino On 2nd,http://www.seamless.com/food-delivery/carino-on-2nd-new-york-city.17515.r,1710 2nd Avenue
Dorrian's Red Hand,http://www.seamless.com/food-delivery/dorrians-red-hand-new-york-city.19847.r,1616 2nd Avenue
Dreamer's Pizza (Third Avenue),http://www.seamless.com/food-delivery/dreamers-pizza-third-avenue-new-york-city.18170.r,1850 3rd Ave.
East Side Bagel & Appetizing,http://www.seamless.com/food-delivery/east-side-bagel-appetizing-new-york-city.16622.r,1496 First Avenue
Enthaice,http://www.seamless.com/food-delivery/enthaice-new-york-city.19387.r,1598 3rd Ave
Gotham Pizza (1st Ave),http://www.seamless.com/food-delivery/gotham-pizza-1st-ave-new-york-city.8187.r,1667 1st Avenue
Hunter Deli,http://www.seamless.com/food-delivery/hunter-deli-new-york-city.16462.r,966 Lexington Ave
La Mia Pizza,http://www.seamless.com/food-delivery/la-mia-pizza-new-york-city.8541.r,1488 1st Ave
Marche du Sud,http://www.seamless.com/food-delivery/marche-du-sud-new-york-city.18155.r,1136 First Avenue
Matsu Sushi (70th Street),http://www.seamless.com/food-delivery/matsu-sushi-70th-street-new-york-city.18839.r,411 East 70th Street
Mini Deli,http://www.seamless.com/food-delivery/mini-deli-new-york-city.18277.r,1266 2nd Ave
Pita Off The Corner,http://www.seamless.com/food-delivery/pita-off-the-corner-new-york-city.6737.r,1764 1st Avenue
Sabor A Mexico Restaurant,http://www.seamless.com/food-delivery/sabor-a-mexico-restaurant-new-york-city.19431.r,1744 First Avenue
Six Happiness UES,http://www.seamless.com/food-delivery/six-happiness-ues-manhattan-consumer.8526.r,1413 2nd Ave
Tal Bagels (86th Street),http://www.seamless.com/food-delivery/tal-bagels-86th-street-new-york-city.16942.r,333 E 86th St
Tenzan (89th Street),http://www.seamless.com/food-delivery/tenzan-89th-street-new-york-city.7061.r,1714 2nd Ave
The Bagel Mill/Cafe Twist,http://www.seamless.com/food-delivery/the-bagel-millcafe-twist-new-york-city.16796.r,1700 1st Ave.
Wrap & Roll Grill,http://www.seamless.com/food-delivery/wrap-roll-grill-new-york-city.6768.r,1530 Third Avenue
Gracie's Corner Diner,http://www.seamless.com/food-delivery/gracies-corner-diner-manhattan-consumer.9294.r,352 East 86th St.
Cafe Evergreen,http://www.seamless.com/food-delivery/cafe-evergreen-new-york-city.1729.r,1367 1st Ave.
Fujiyama,http://www.seamless.com/food-delivery/fujiyama-manhattan-consumer.3647.r,1466 1st Avenue
