name,href,address
Valent & Cook,http://www.seamless.com/food-delivery/valent-cook-new-york-city.4249.r,74 5th Avenue
Dirty Bird To-Go,http://www.seamless.com/food-delivery/dirty-bird-togo-new-york-city.2809.r,204 West 14th Street
Olio,http://www.seamless.com/food-delivery/olio-new-york-city.16864.r,3 Greenwich Avenue
Raj Mahal,http://www.seamless.com/food-delivery/raj-mahal-new-york-city.5890.r,322 E 6th St
Pad Thai Noodle Lounge,http://www.seamless.com/food-delivery/pad-thai-noodle-lounge-new-york-city.18065.r,114 8th Avenue
Pizza Mezzaluna,http://www.seamless.com/food-delivery/pizza-mezzaluna-manhattan-consumer.4816.r,146 W. Houston St.
Friedman's Lunch,http://www.seamless.com/food-delivery/friedmans-lunch-manhattan-consumer.9290.r,75 9th Ave.
Green Cafe (6th Ave),http://www.seamless.com/food-delivery/green-cafe-6th-ave-manhattan-consumer.6593.r,599 6th Ave
Subway (Broadway and 25th Street),http://www.seamless.com/food-delivery/subway-broadway-and-25th-street-new-york-city.17193.r,5 West 25th Street
Friend House,http://www.seamless.com/food-delivery/friend-house-new-york-city.2148.r,370 8th Ave.
Mariachi's (Formerly The Bigger Place),http://www.seamless.com/food-delivery/mariachis-formerly-the-bigger-place-new-york-city.3795.r,61 Warren Street
Cafe Espanol (Bleeker St.),http://www.seamless.com/food-delivery/cafe-espanol-bleeker-st-manhattan-consumer.9305.r,172 Bleecker St.
EN Japanese Brasserie,http://www.seamless.com/food-delivery/en-japanese-brasserie-new-york-city.4432.r,435 Hudson St
East of Eighth,http://www.seamless.com/food-delivery/east-of-eighth-new-york-city.4038.r,254 West 23rd Street
Liberty Cafe,http://www.seamless.com/food-delivery/liberty-cafe-new-york-city.483.r,37 West 43rd Street
Nomad Restaurant,http://www.seamless.com/food-delivery/nomad-restaurant-new-york-city.3427.r,78 Second Ave
City Cafe,http://www.seamless.com/food-delivery/city-cafe-new-york-city.480.r,35 West 43rd Street
Rosa Mexicano,http://www.seamless.com/food-delivery/rosa-mexicano-new-york-city.10757.r,9 East 18th St.
New Xe Lua Vietnamese Restaurant,http://www.seamless.com/food-delivery/new-xe-lua-vietnamese-restaurant-new-york-city.10760.r,86 Mulberry Street
Pappardella,http://www.seamless.com/food-delivery/pappardella-new-york-city.1221.r,316 Columbus Avenue
Tio Pepe,http://www.seamless.com/food-delivery/tio-pepe-new-york-city.4774.r,168 W 4th St
Texas Rotisserie & Grill (DT),http://www.seamless.com/food-delivery/texas-rotisserie-grill-dt-new-york-city.326.r,94 Fulton Street
Blossom Du Jour,http://www.seamless.com/food-delivery/blossom-du-jour-new-york-city.16640.r,259 W 23rd St
Panca,http://www.seamless.com/food-delivery/panca-new-york-city.20032.r,92 7th Ave South
,,
collection2,,
